    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
    146.000    13.3479    13.3268    38.5248    29.0583    3.76226    163.245     1.0985     0.1320     4.5239    91.5169     0.0887
    147.000    13.3485    13.3273    38.5255    29.0587    3.76304    163.279     1.1031     0.1337     4.5239    91.5169     0.0887
    148.000    13.3502    13.3288    38.5266    29.0593    3.76485    163.358     1.1031     0.1337     4.5239    91.5164     0.0887
    149.000    13.3517    13.3301    38.5279    29.0600    3.76406    163.322     1.0985     0.1320     4.5239    91.5164     0.0887
    150.000    13.3519    13.3302    38.5283    29.0603    3.76406    163.322     1.0985     0.1320     4.5238    91.5148     0.0887
    151.000    13.3519    13.3302    38.5287    29.0606    3.76406    163.322     1.1005     0.1328     4.5236    91.5113     0.0887
    152.000    13.3531    13.3311    38.5299    29.0613    3.76151    163.212     1.1000     0.1326     4.5231    91.5014     0.0888
    153.000    13.3540    13.3316    38.5307    29.0616    3.75905    163.105     1.1005     0.1328     4.5230    91.4985     0.0888
    154.000    13.3542    13.3320    38.5310    29.0620    3.75904    163.105     1.1044     0.1341     4.5230    91.4985     0.0888
    155.000    13.3551    13.3330    38.5310    29.0621    3.75621    162.982     1.1049     0.1343     4.5230    91.4985     0.0888
    156.000    13.3557    13.3332    38.5320    29.0625    3.75593    162.970     1.1052     0.1344     4.5230    91.4985     0.0888
    157.000    13.3604    13.3377    38.5334    29.0627    3.75464    162.913     1.1052     0.1344     4.5229    91.4956     0.0889
    158.000    13.3651    13.3423    38.5348    29.0628    3.74554    162.518     1.1052     0.1344     4.5228    91.4937     0.0889
    159.000    13.3730    13.3500    38.5381    29.0637    3.73153    161.910     1.1044     0.1341     4.5227    91.4922     0.0889
    160.000    13.3852    13.3620    38.5421    29.0642    3.72153    161.475     1.0970     0.1315     4.5225    91.4883     0.0889
    161.000    13.3869    13.3633    38.5429    29.0644    3.71776    161.311     1.0970     0.1315     4.5225    91.4883     0.0889
    162.000    13.3869    13.3633    38.5431    29.0646    3.71758    161.303     1.0970     0.1315     4.5227    91.4922     0.0889
