  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
      83)         83       0.072        0.15       225.4        0.26      103.16      98.210      22.494       86.00      36.930      25.546      22.506        0.02 
      84)         84       0.072        0.17       225.3        0.26      103.14      98.210      22.506       87.00      36.929      25.542      22.518        0.02 
      85)         85       0.073        0.16       225.5        0.25      103.11      98.200      22.445       88.00      36.923      25.555      22.457        0.02 
      86)         86       0.073        0.18       225.6        0.24      103.16      98.190      22.445       89.00      36.923      25.554      22.458        0.02 
      87)         87       0.072        0.17       225.3        0.23      103.06      98.220      22.478       90.00      36.926      25.547      22.491        0.02 
      88)         88       0.072        0.20       225.6        0.23      103.14      98.230      22.437       91.00      36.923      25.557      22.450        0.02 
      89)         89       0.072        0.20       225.3        0.22      102.96      98.220      22.425       92.00      36.920      25.558      22.438        0.02 
      90)         90       0.071        0.21       225.4        0.21      102.89      98.240      22.350       93.00      36.912      25.574      22.363        0.02 
      91)         91       0.072        0.20       226.0        0.20      103.15      98.220      22.347       94.00      36.913      25.575      22.361        0.02 
      92)         92       0.072        0.22       226.0        0.20      103.18      98.220      22.349       95.00      36.913      25.574      22.363        0.02 
      93)         93       0.071        0.24       225.5        0.19      102.88      98.240      22.321       96.00      36.909      25.579      22.335        0.01 
      94)         94       0.071        0.22       225.8        0.19      102.97      98.250      22.309       97.00      36.909      25.583      22.323        0.01 
      95)         95       0.070        0.21       225.7        0.18      102.98      98.270      22.324       98.00      36.913      25.582      22.338        0.01 
      96)         96       0.070        0.19       225.2        0.17      102.75      98.250      22.320       99.00      36.914      25.583      22.335        0.01 
      97)         97       0.071        0.24       225.2        0.17      102.73      98.240      22.307      100.00      36.918      25.590      22.322        0.01 
      98)         98       0.069        0.23       225.3        0.16      102.76      98.280      22.313      101.00      36.917      25.588      22.328        0.01 
      99)         99       0.069        0.21       225.5        0.16      102.87      98.280      22.321      102.00      36.917      25.586      22.336        0.01 
     100)        100       0.068        0.25       224.9        0.15      102.58      98.320      22.297      103.00      36.918      25.593      22.312        0.01 
     101)        101       0.068        0.25       224.8        0.15      102.49      98.310      22.283      104.00      36.918      25.597      22.299        0.01 
     102)        102       0.068        0.25       224.6        0.14      102.40      98.310      22.269      105.00      36.919      25.602      22.285        0.01 
     103)        103       0.068        0.26       224.2        0.14      102.19      98.320      22.270      106.00      36.922      25.604      22.286        0.01 
     104)        104       0.068        0.27       224.4        0.13      102.28      98.320      22.272      107.00      36.922      25.603      22.288        0.01 
     105)        105       0.068        0.29       224.1        0.13      102.17      98.300      22.272      108.00      36.922      25.603      22.288        0.01 
     106)        106       0.067        0.29       224.0        0.12      102.10      98.330      22.267      109.00      36.924      25.606      22.284        0.01 
     107)        107       0.068        0.30       224.3        0.12      102.23      98.320      22.267      110.00      36.924      25.606      22.284        0.01 
     108)        108       0.067        0.31       224.0        0.12      102.12      98.330      22.266      111.00      36.924      25.606      22.283        0.01 
     109)        109       0.067        0.28       223.9        0.11      102.07      98.340      22.265      112.00      36.923      25.606      22.282        0.01 
     110)        110       0.067        0.25       223.9        0.11      102.04      98.350      22.263      113.00      36.923      25.607      22.280        0.01 
     111)        111       0.066        0.29       223.9        0.10      102.02      98.360      22.248      114.00      36.919      25.608      22.266        0.01 
     112)        112       0.067        0.30       223.7        0.10      101.90      98.340      22.224      115.00      36.913      25.610      22.242        0.01 
     113)        113       0.066        0.30       223.6        0.09      101.80      98.360      22.203      116.00      36.908      25.612      22.221        0.01 
     114)        114       0.066        0.29       223.7        0.09      101.81      98.360      22.185      117.00      36.903      25.614      22.203        0.01 
     115)        115       0.066        0.31       224.0        0.09      101.95      98.370      22.193      118.00      36.906      25.614      22.211        0.01 
     116)        116       0.066        0.31       223.6        0.09      101.81      98.370      22.195      119.00      36.906      25.613      22.214        0.01 
     117)        117       0.066        0.31       223.2        0.08      101.49      98.370      22.146      120.00      36.895      25.618      22.165        0.00 
     118)        118       0.066        0.32       223.2        0.08      101.49      98.370      22.131      121.00      36.892      25.621      22.150        0.00 
     119)        119       0.066        0.32       223.6        0.08      101.70      98.360      22.154      122.00      36.897      25.618      22.173        0.00 
     120)        120       0.065        0.33       222.5        0.07      101.17      98.380      22.128      123.00      36.892      25.621      22.147        0.00 
     121)        121       0.065        0.34       222.5        0.07      101.15      98.390      22.126      124.00      36.893      25.623      22.146        0.00 
     122)        122       0.065        0.35       222.8        0.07      101.28      98.390      22.127      125.00      36.894      25.623      22.147        0.00 
     123)        123       0.065        0.37       222.3        0.06      101.09      98.390      22.128      126.00      36.899      25.627      22.148        0.00 
     124)        124       0.065        0.35       221.9        0.06      100.90      98.390      22.128      127.00      36.900      25.628      22.148        0.00 
     125)        125       0.065        0.35       222.0        0.06      100.96      98.380      22.126      128.00      36.900      25.628      22.146        0.00 
     126)        126       0.065        0.37       221.3        0.06      100.62      98.390      22.117      129.00      36.899      25.630      22.138        0.00 
     127)        127       0.065        0.40       221.7        0.06      100.77      98.390      22.117      130.00      36.902      25.632      22.138        0.00 
     128)        128       0.065        0.43       220.9        0.05      100.45      98.400      22.120      131.00      36.903      25.632      22.141        0.00 
     129)        129       0.064        0.40       220.8        0.05      100.41      98.400      22.124      132.00      36.907      25.634      22.145        0.00 
     130)        130       0.064        0.43       220.9        0.05      100.41      98.410      22.111      133.00      36.905      25.636      22.132        0.00 
     131)        131       0.064        0.42       220.9        0.05      100.39      98.410      22.088      134.00      36.901      25.639      22.110        0.00 
     132)        132       0.064        0.41       220.9        0.05      100.40      98.420      22.091      135.00      36.904      25.641      22.113        0.00 
     133)        133       0.063        0.45       220.4        0.05      100.15      98.440      22.089      136.00      36.903      25.641      22.111        0.00 
     134)        134       0.063        0.45       220.6        0.04      100.21      98.440      22.084      137.00      36.902      25.642      22.106        0.00 
     135)        135       0.063        0.45       220.2        0.04      100.04      98.440      22.076      138.00      36.901      25.643      22.098        0.00 
     136)        136       0.063        0.46       220.2        0.04      100.03      98.440      22.070      139.00      36.901      25.645      22.093        0.00 
     137)        137       0.063        0.48       220.4        0.04      100.11      98.430      22.076      140.00      36.901      25.643      22.099        0.00 
     138)        138       0.062        0.53       219.7        0.04       99.81      98.460      22.080      141.00      36.901      25.642      22.103        0.00 
     139)        139       0.062        0.57       219.2        0.04       99.49      98.460      22.037      142.00      36.892      25.647      22.060        0.00 
     140)        140       0.062        0.61       218.8        0.03       99.29      98.460      22.024      143.00      36.889      25.649      22.047        0.00 
     141)        141       0.062        0.65       219.0        0.03       99.36      98.460      22.003      144.00      36.882      25.649      22.026        0.00 
     142)        142       0.062        0.69       219.4        0.03       99.54      98.450      22.017      145.00      36.888      25.650      22.041        0.00 
     143)        143       0.063        0.68       219.3        0.03       99.53      98.450      22.035      146.00      36.889      25.645      22.059        0.00 
     144)        144       0.062        0.71       218.2        0.03       98.89      98.450      21.941      147.00      36.865      25.654      21.965        0.00 
     145)        145       0.063        0.74       218.1        0.03       98.80      98.430      21.937      148.00      36.864      25.654      21.961        0.00 
     146)        146       0.063        0.76       217.8        0.03       98.67      98.430      21.937      149.00      36.864      25.654      21.961        0.00 
     147)        147       0.063        0.77       217.7        0.02       98.62      98.450      21.933      150.00      36.863      25.654      21.958        0.00 
     148)        148       0.062        0.82       218.1        0.02       98.88      98.460      21.959      151.00      36.870      25.652      21.984        0.00 
     149)        149       0.062        0.80       217.6        0.02       98.60      98.460      21.934      152.00      36.863      25.654      21.959        0.00 
     150)        150       0.062        0.81       217.4        0.02       98.49      98.460      21.933      153.00      36.863      25.655      21.958        0.00 
     151)        151       0.062        0.81       217.2        0.02       98.42      98.460      21.934      154.00      36.863      25.654      21.959        0.00 
     152)        152       0.062        0.80       217.4        0.02       98.51      98.460      21.933      155.00      36.863      25.654      21.959        0.00 
     153)        153       0.062        0.80       217.5        0.02       98.54      98.470      21.938      156.00      36.864      25.654      21.964        0.00 
     154)        154       0.061        0.76       217.6        0.02       98.60      98.480      21.937      157.00      36.864      25.654      21.963        0.00 
