    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]    CDOM[V] CDOM[Urel]   CSTAR[V]    C660[%]  C660[m-1]
     82.000    13.7426    13.7306    38.3069    28.8035    4.59110    199.234     1.2924     0.2162     0.0000    -1.6296     4.5903    92.8790     0.0739
     83.000    13.7170    13.7049    38.3078    28.8098    4.57241    198.424     1.2913     0.2156     0.0000    -1.6296     4.5912    92.8955     0.0737
     84.000    13.6805    13.6682    38.3117    28.8206    4.54778    197.354     1.2886     0.2142     0.0000    -1.6296     4.5923    92.9196     0.0735
     85.000    13.6257    13.6133    38.3189    28.8379    4.53226    196.681     1.2815     0.2104     0.0000    -1.6296     4.5936    92.9473     0.0731
     86.000    13.5760    13.5635    38.3254    28.8535    4.52507    196.369     1.2776     0.2084     0.0000    -1.6296     4.5939    92.9533     0.0731
     87.000    13.5546    13.5420    38.3287    28.8607    4.51420    195.897     1.2776     0.2084     0.0000    -1.6296     4.5942    92.9582     0.0730
     88.000    13.5504    13.5376    38.3295    28.8622    4.50190    195.363     1.2776     0.2084     0.0000    -1.6296     4.5943    92.9618     0.0730
     89.000    13.5483    13.5354    38.3298    28.8629    4.48817    194.767     1.2780     0.2086     0.0000    -1.6296     4.5945    92.9662     0.0729
     90.000    13.5421    13.5290    38.3305    28.8648    4.47449    194.173     1.2815     0.2104     0.0000    -1.6296     4.5954    92.9835     0.0728
     91.000    13.5060    13.4928    38.3355    28.8764    4.46370    193.705     1.2856     0.2126     0.0000    -1.6296     4.5954    92.9844     0.0728
     92.000    13.4837    13.4704    38.3424    28.8865    4.45408    193.286     1.2856     0.2126     0.0000    -1.6296     4.5956    92.9890     0.0727
     93.000    13.4763    13.4628    38.3461    28.8910    4.44924    193.076     1.2856     0.2126     0.0000    -1.6296     4.5961    92.9982     0.0726
     94.000    13.4751    13.4615    38.3466    28.8916    4.44533    192.907     1.2802     0.2097     0.0000    -1.6296     4.5961    92.9989     0.0726
     95.000    13.4730    13.4592    38.3475    28.8928    4.43356    192.396     1.2802     0.2097     0.0000    -1.6296     4.5965    93.0057     0.0725
     96.000    13.4646    13.4507    38.3493    28.8960    4.42026    191.819     1.2802     0.2097     0.0000    -1.6296     4.5966    93.0084     0.0725
     97.000    13.4555    13.4415    38.3529    28.9008    4.41431    191.560     1.2802     0.2097     0.0000    -1.6296     4.5967    93.0091     0.0725
     98.000    13.4526    13.4381    38.3559    28.9038    4.40928    191.341     1.2791     0.2091     0.0000    -1.6296     4.5967    93.0107     0.0725
     99.000    13.4522    13.4380    38.3577    28.9054    4.39177    190.581     1.2759     0.2075     0.0000    -1.6296     4.5969    93.0142     0.0724
    100.000    13.4513    13.4370    38.3589    28.9061    4.37793    189.980     1.2759     0.2075     0.0000    -1.6296     4.5969    93.0142     0.0724
    101.000    13.4493    13.4347    38.3601    28.9078    4.37215    189.729     1.2748     0.2069     0.0000    -1.6296     4.5977    93.0298     0.0723
    102.000    13.4377    13.4230    38.3689    28.9171    4.36796    189.546     1.2742     0.2066     0.0000    -1.6296     4.5981    93.0392     0.0721
    103.000    13.4334    13.4182    38.3734    28.9212    4.36039    189.218     1.2757     0.2074     0.0000    -1.6296     4.5982    93.0402     0.0721
    104.000    13.4331    13.4178    38.3734    28.9218    4.35874    189.146     1.2742     0.2066     0.0000    -1.6296     4.5982    93.0402     0.0721
    105.000    13.4321    13.4171    38.3730    28.9219    4.35645    189.047     1.2736     0.2063     0.0000    -1.6296     4.5982    93.0414     0.0721
    106.000    13.4324    13.4171    38.3740    28.9221    4.35039    188.784     1.2729     0.2059     0.0000    -1.6296     4.5983    93.0425     0.0721
    107.000    13.4328    13.4170    38.3763    28.9237    4.34896    188.721     1.2663     0.2025     0.0000    -1.6296     4.5983    93.0425     0.0721
    108.000    13.4328    13.4170    38.3758    28.9237    4.34636    188.608     1.2633     0.2011     0.0000    -1.6296     4.5984    93.0436     0.0721
    109.000    13.4328    13.4170    38.3759    28.9241    4.34297    188.461     1.2633     0.2011     0.0000    -1.6296     4.5985    93.0461     0.0721
    110.000    13.4349    13.4188    38.3784    28.9252    4.33664    188.186     1.2633     0.2011     0.0000    -1.6296     4.5985    93.0468     0.0720
    111.000    13.4349    13.4188    38.3806    28.9270    4.32515    187.687     1.2584     0.1986     0.0000    -1.6296     4.5985    93.0471     0.0720
    112.000    13.4349    13.4188    38.3827    28.9286    4.31069    187.059     1.2558     0.1973     0.0000    -1.6296     4.5988    93.0522     0.0720
    113.000    13.4346    13.4182    38.3833    28.9292    4.29052    186.184     1.2574     0.1981     0.0000    -1.6296     4.5994    93.0651     0.0718
    114.000    13.4345    13.4181    38.3870    28.9321    4.26921    185.259     1.2574     0.1981     0.0000    -1.6296     4.5997    93.0710     0.0718
    115.000    13.4328    13.4162    38.3914    28.9359    4.25140    184.486     1.2574     0.1981     0.0000    -1.6296     4.6006    93.0910     0.0716
    116.000    13.4170    13.4002    38.4003    28.9462    4.23856    183.927     1.2574     0.1981     0.0000    -1.6296     4.6014    93.1068     0.0714
    117.000    13.3966    13.3797    38.4113    28.9591    4.22832    183.482     1.2574     0.1981     0.0000    -1.6296     4.6024    93.1266     0.0712
    118.000    13.3886    13.3716    38.4155    28.9641    4.22139    183.181     1.2546     0.1967     0.0000    -1.6296     4.6026    93.1305     0.0711
    119.000    13.3827    13.3655    38.4191    28.9682    4.21541    182.921     1.2519     0.1954     0.0000    -1.6296     4.6034    93.1475     0.0710
    120.000    13.3813    13.3640    38.4203    28.9694    4.21187    182.767     1.2513     0.1951     0.0000    -1.6296     4.6035    93.1486     0.0710
    121.000    13.3804    13.3629    38.4211    28.9702    4.21087    182.723     1.2497     0.1943     0.0000    -1.6296     4.6035    93.1486     0.0710
    122.000    13.3795    13.3619    38.4219    28.9711    4.20973    182.674     1.2488     0.1939     0.0000    -1.6296     4.6038    93.1561     0.0709
    123.000    13.3789    13.3611    38.4224    28.9716    4.20906    182.644     1.2493     0.1941     0.0000    -1.6296     4.6038    93.1561     0.0709
    124.000    13.3770    13.3591    38.4243    28.9735    4.20822    182.608     1.2493     0.1941     0.0000    -1.6296     4.6040    93.1586     0.0709
    125.000    13.3749    13.3569    38.4265    28.9757    4.20451    182.447     1.2488     0.1939     0.0000    -1.6296     4.6043    93.1654     0.0708
    126.000    13.3717    13.3535    38.4300    28.9791    4.19736    182.136     1.2437     0.1914     0.0000    -1.6296     4.6046    93.1716     0.0707
    127.000    13.3710    13.3527    38.4308    28.9800    4.18960    181.799     1.2437     0.1914     0.0000    -1.6296     4.6049    93.1784     0.0707
    128.000    13.3705    13.3520    38.4316    28.9807    4.18492    181.596     1.2426     0.1909     0.0000    -1.6296     4.6050    93.1802     0.0706
    129.000    13.3695    13.3509    38.4330    28.9820    4.18467    181.585     1.2398     0.1896     0.0000    -1.6296     4.6051    93.1823     0.0706
    130.000    13.3667    13.3479    38.4371    28.9858    4.18294    181.510     1.2427     0.1910     0.0000    -1.6296     4.6058    93.1959     0.0705
    131.000    13.3651    13.3462    38.4403    28.9887    4.17467    181.150     1.2427     0.1910     0.0000    -1.6296     4.6061    93.2036     0.0704
    132.000    13.3644    13.3453    38.4421    28.9902    4.17048    180.968     1.2398     0.1896     0.0000    -1.6296     4.6061    93.2036     0.0704
    133.000    13.3642    13.3450    38.4436    28.9915    4.16712    180.822     1.2380     0.1887     0.0000    -1.6296     4.6062    93.2053     0.0703
    134.000    13.3636    13.3443    38.4463    28.9937    4.16403    180.688     1.2351     0.1873     0.0000    -1.6296     4.6067    93.2154     0.0702
    135.000    13.3636    13.3441    38.4473    28.9945    4.16353    180.666     1.2288     0.1844     0.0000    -1.6296     4.6068    93.2177     0.0702
    136.000    13.3635    13.3439    38.4491    28.9960    4.15811    180.431     1.2286     0.1843     0.0000    -1.6296     4.6069    93.2191     0.0702
    137.000    13.3635    13.3437    38.4502    28.9968    4.15414    180.258     1.2250     0.1826     0.0000    -1.6296     4.6071    93.2227     0.0702
    138.000    13.3634    13.3435    38.4514    28.9978    4.15088    180.116     1.2249     0.1826     0.0000    -1.6296     4.6073    93.2268     0.0701
    139.000    13.3633    13.3431    38.4541    29.0000    4.15088    180.116     1.2248     0.1825     0.0000    -1.6296     4.6074    93.2297     0.0701
    140.000    13.3633    13.3430    38.4562    29.0017    4.15088    180.116     1.2248     0.1825     0.0000    -1.6296     4.6080    93.2416     0.0700
    141.000    13.3633    13.3429    38.4574    29.0026    4.15039    180.095     1.2248     0.1825     0.0000    -1.6296     4.6080    93.2416     0.0700
    142.000    13.3634    13.3429    38.4585    29.0034    4.15039    180.095     1.2252     0.1827     0.0000    -1.6296     4.6081    93.2428     0.0700
    143.000    13.3635    13.3429    38.4596    29.0043    4.14862    180.017     1.2252     0.1827     0.0000    -1.6296     4.6081    93.2428     0.0700
    144.000    13.3636    13.3428    38.4600    29.0046    4.14847    180.010     1.2252     0.1827     0.0000    -1.6296     4.6082    93.2439     0.0700
    145.000    13.3637    13.3428    38.4617    29.0059    4.14595    179.902     1.2271     0.1836     0.0000    -1.6296     4.6083    93.2462     0.0700
    146.000    13.3639    13.3428    38.4628    29.0068    4.14574    179.892     1.2237     0.1820     0.0000    -1.6296     4.6087    93.2546     0.0699
    147.000    13.3641    13.3429    38.4649    29.0084    4.14020    179.651     1.2220     0.1813     0.0000    -1.6296     4.6091    93.2642     0.0697
    148.000    13.3645    13.3431    38.4687    29.0113    4.13678    179.502     1.2208     0.1807     0.0000    -1.6296     4.6092    93.2651     0.0697
    149.000    13.3649    13.3434    38.4703    29.0125    4.13541    179.443     1.2208     0.1807     0.0000    -1.6296     4.6093    93.2678     0.0697
    150.000    13.3651    13.3434    38.4720    29.0138    4.13183    179.287     1.2208     0.1807     0.0000    -1.6296     4.6093    93.2678     0.0697
    151.000    13.3654    13.3436    38.4733    29.0148    4.13123    179.261     1.2237     0.1820     0.0000    -1.6296     4.6095    93.2726     0.0696
    152.000    13.3658    13.3438    38.4741    29.0154    4.13002    179.208     1.2237     0.1820     0.0000    -1.6296     4.6096    93.2733     0.0696
    153.000    13.3661    13.3440    38.4746    29.0158    4.12825    179.132     1.2237     0.1820     0.0000    -1.6296     4.6096    93.2749     0.0696
    154.000    13.3663    13.3440    38.4753    29.0162    4.12678    179.067     1.2179     0.1794     0.0000    -1.6296     4.6099    93.2808     0.0695
    155.000    13.3673    13.3449    38.4776    29.0178    4.12678    179.067     1.2146     0.1779     0.0000    -1.6296     4.6099    93.2808     0.0695
    156.000    13.3690    13.3465    38.4814    29.0205    4.12640    179.051     1.2146     0.1779     0.0000    -1.6296     4.6103    93.2885     0.0695
    157.000    13.3695    13.3468    38.4818    29.0207    4.12640    179.051     1.2140     0.1776     0.0000    -1.6296     4.6104    93.2904     0.0694
    158.000    13.3697    13.3469    38.4820    29.0209    4.12604    179.035     1.2140     0.1776     0.0000    -1.6296     4.6104    93.2904     0.0694
    159.000    13.3701    13.3471    38.4823    29.0210    4.11968    178.758     1.2091     0.1754     0.0000    -1.6296     4.6104    93.2918     0.0694
    160.000    13.3704    13.3473    38.4832    29.0217    4.11575    178.587     1.1997     0.1713     0.0000    -1.6296     4.6104    93.2918     0.0694
    161.000    13.3712    13.3479    38.4839    29.0221    4.11575    178.587     1.1988     0.1709     0.0000    -1.6296     4.6104    93.2918     0.0694
    162.000    13.3730    13.3496    38.4866    29.0238    4.11575    178.587     1.1984     0.1707     0.0000    -1.6296     4.6105    93.2929     0.0694
    163.000    13.3747    13.3511    38.4890    29.0253    4.11902    178.728     1.1988     0.1709     0.0000    -1.6296     4.6106    93.2941     0.0694
    164.000    13.3772    13.3535    38.4910    29.0264    4.11902    178.728     1.1988     0.1709     0.0000    -1.6296     4.6106    93.2941     0.0694
    165.000    13.3785    13.3546    38.4920    29.0270    4.11902    178.728     1.2019     0.1722     0.0000    -1.6296     4.6107    93.2963     0.0694
    166.000    13.3790    13.3550    38.4923    29.0271    4.11507    178.557     1.2028     0.1727     0.0000    -1.6296     4.6107    93.2963     0.0694
    167.000    13.3794    13.3552    38.4928    29.0275    4.10801    178.251     1.2034     0.1729     0.0000    -1.6296     4.6109    93.3012     0.0693
    168.000    13.3800    13.3557    38.4933    29.0278    4.10153    177.969     1.2034     0.1729     0.0000    -1.6296     4.6110    93.3024     0.0693
    169.000    13.3810    13.3565    38.4940    29.0281    4.09767    177.802     1.2034     0.1729     0.0000    -1.6296     4.6110    93.3041     0.0693
    170.000    13.3815    13.3569    38.4943    29.0283    4.09473    177.674     1.2023     0.1724     0.0000    -1.6296     4.6110    93.3043     0.0693
    171.000    13.3885    13.3637    38.5002    29.0314    4.09335    177.613     1.2002     0.1715     0.0000    -1.6296     4.6114    93.3119     0.0692
    172.000    13.3932    13.3683    38.5040    29.0334    4.08947    177.445     1.1992     0.1711     0.0000    -1.6296     4.6114    93.3119     0.0692
    173.000    13.3940    13.3687    38.5046    29.0336    4.08947    177.445     1.1954     0.1695     0.0000    -1.6296     4.6114    93.3119     0.0692
    174.000    13.3941    13.3689    38.5045    29.0337    4.08864    177.409     1.1943     0.1690     0.0000    -1.6296     4.6114    93.3119     0.0692
    175.000    13.3941    13.3690    38.5045    29.0337    4.08696    177.335     1.1943     0.1690     0.0000    -1.6296     4.6116    93.3154     0.0692
    176.000    13.3947    13.3692    38.5054    29.0343    4.08696    177.335     1.1923     0.1681     0.0000    -1.6296     4.6116    93.3156     0.0692
    177.000    13.3985    13.3729    38.5084    29.0355    4.08383    177.199     1.1921     0.1680     0.0000    -1.6296     4.6115    93.3146     0.0692
    178.000    13.3999    13.3741    38.5087    29.0355    4.08183    177.113     1.1921     0.1680     0.0000    -1.6296     4.6115    93.3146     0.0692
    179.000    13.4005    13.3746    38.5084    29.0356    4.08183    177.113     1.1907     0.1674     0.0000    -1.6296     4.6115    93.3146     0.0692
    180.000    13.4010    13.3749    38.5085    29.0355    4.08183    177.113     1.1889     0.1667     0.0000    -1.6296     4.6115    93.3142     0.0692
    181.000    13.4011    13.3749    38.5086    29.0355    4.08068    177.062     1.1872     0.1659     0.0000    -1.6296     4.6115    93.3142     0.0692
    182.000    13.4016    13.3752    38.5085    29.0356    4.08068    177.062     1.1889     0.1667     0.0000    -1.6296     4.6115    93.3142     0.0692
    183.000    13.4018    13.3753    38.5088    29.0356    4.08068    177.062     1.1889     0.1667     0.0000    -1.6296     4.6115    93.3142     0.0692
    184.000    13.4035    13.3768    38.5101    29.0363    4.07660    176.885     1.1942     0.1689     0.0000    -1.6296     4.6115    93.3142     0.0692
    185.000    13.4054    13.3786    38.5112    29.0368    4.06994    176.596     1.1971     0.1702     0.0000    -1.6296     4.6116    93.3167     0.0692
    186.000    13.4082    13.3812    38.5127    29.0374    4.06837    176.528     1.1971     0.1702     0.0000    -1.6296     4.6116    93.3167     0.0692
    187.000    13.4135    13.3864    38.5159    29.0388    4.06449    176.359     1.1971     0.1702     0.0000    -1.6296     4.6118    93.3191     0.0692
    188.000    13.4198    13.3925    38.5196    29.0404    4.05408    175.907     1.1936     0.1686     0.0000    -1.6296     4.6118    93.3191     0.0692
    189.000    13.4254    13.3980    38.5226    29.0416    4.04654    175.579     1.1918     0.1679     0.0000    -1.6296     4.6118    93.3191     0.0692
